inhal,DB update status,Curator,level1,level2,level3,level4,level5,level6,level7,level8,PARENT TERMS (optional),HAS_FOR,TERM,DEFINITION,Mapping,EXACT SYNONYMS,BROAD SYNONYMS,NARROW SYNONYMS,RELATED SYNONYMS,DB_SYNONYMS,ASSOCIATED PROCESS,ASSOCIATED ROLE,ASSOCIATED PHYSIOLOGICAL EFFECT,ASSOCIATED BIOLOGICAL LOCATION,TERM SOURCE,ORIGINAL_DEFINITION_SOURCE,SOURCE_OF_DEFINITION,COMMENT,SUGGESTED MAIN TERM
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder,Inborn Error of Metabolism; Urine Disorder,,,,,Pentosuria,An autosomal recessive (Gene DCXR) metabolic disorder characterized by elevated urinary levels of pentose.,urine,Essential benign pentosuria; Pentosuria,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Peroxisomal biogenesis defects,A disorder characterized by defects in peroxisome functions typically due to mutations in the PEX genes.,peroxisome,,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder; Hematological System Disorder,Inborn Error of Metabolism; Urine Disorder; Blood Plasma Disorder,,,,,Phenylketonuria,"An autosomal recessive (Gene PAH) amino acid metabolic disorder that is characterized by a mutation in the gene for the hepatic enzyme phenylalanine hydroxylase (PAH), rendering it nonfunctional. (DO)",liver,PKU,,,,DOID:9281,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Porphyria,A group of inherited metabolic disorders which involve certain enzymes in the heme bio-synthetic pathway resulting in the overproduction and accumulation of the porphyrins. (DO),skin; nervous system,,,,,DOID:13268,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder,Inborn Error of Metabolism; Urine Disorder,,,Organic acidemia,,Primary hyperoxaluria II,"An autosomal recessive (Gene GRHPR) metabolic disorder characterized by an accumulation of calcium oxalate in various bodily tissues, especially the kidney, but with less severe symptoms than primary hyperoxaluria I.",kidney,"Oxalosis II; D-glycerate dehydrogenase deficiency; Hyperoxaluria, primary, type II; HP2; Oxalosis II; Glyceric aciduria; Glyoxylate reductase/hydroxypyruvate reductase deficiency; PH2",,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Hematological System Disorder,Inborn Error of Metabolism; Blood Plasma Disorder,,,,,Primary hypomagnesemia,A metal metabolism disorder characterized by very low serum magnesium levels often with secondary hypocalcemia with onset typically in the first months of life. (DO),,"Hypomagnesemia 3, renal; HOMG3; Hypomagnesemia, primary, due to defect in renal tubular transport of magnesium; Hypomagnesemia, isolated renal; Hypomagnesemia, familial, with hypercalciuria and nephrocalcinosis",,,,DOID:0060879,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Prolidase deficiency,"An autosomal recessive (Gene PEPD) multisystem disorder associated with massive imidodipeptiduria and lack of or reduced prolidase activity in erythrocytes, leukocytes, or cultured fibroblasts. ",erythrocyte; leukocyte,PD; deficiency in prolidase,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,Injury or Poisoning,Poisoning,,,,,,Propofol infusion syndrome,"A disorder chracterized as affecting patients undergoing long-term treatment with high doses of the anaesthetic and sedative drug propofol. It can lead to cardiac failure, rhabdomyolysis, metabolic acidosis, and kidney failure, and is often fatal.",heart; kidney,PRIS,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Immune System Disorder,Inborn Error of Metabolism; Lymphocytic Disorder,,,,,Purine nucleoside phosphorylase deficiency,An autosomal recessive (Gene PNP) immunodeficiency disorder characterized mainly by decreased T-cell function.,T-cell,PNP deficiency; deficiency in Purine nucleoside phosphorylase; deficiency in PNP,,,,DOID:5813,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Hematological System Disorder,Inborn Error of Metabolism; Erythrocytic Disorder,Anemia,Non-Nutritional Anemia,,,Pyrimidine 5'-nucleotidase deficiency,An autosomal recessive (Gene NT5C3A) hemolytic anemia characterized by marked basophilic stippling and the accumulation of high concentrations of pyrimidine nucleotides within the erythrocyte.,erythrocyte,Uridine monophosphate hydrolase deficiency; P5N deficiency; deficiency in Pyrimidine 5'-nucleotidase; deficiency in P5N,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Pyruvate carboxylase deficiency,An autosomal recessive (Gene PC) metabolic disorder characterized by lactic acidemia and neurological symptoms.,,PC DEFICIENCY; deficiency in Pyruvate carboxylase,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Pyruvate dehydrogenase complex deficiency,"An X-linked dominant (Gene PDHA1) characterized by primary lactic acidiosis with the clinical spectrum quite broad, ranging from fatal lactic acidosis in the newborn to chronic neurologic dysfunction with structural abnormalities in the central nervous system without systemic acidosis .",central nervous system,PDH deficiency; Pyruvate decarbosylade deficiency; Pyruvate dehydrogenase E1-alpha deficiency; deficiency in Pyruvate dehydrogenase complex; deficiency in PDH,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Refsum's disease,"An autosomal recessive (Gene PHYH) inborn error of lipid metabolism classically characterized by a tetrad of clinical abnormalities: retinitis pigmentosa, peripheral neuropathy, cerebellar ataxia, and elevated protein levels in the cerebrospinal fluid (CSF) without an increase in the number of cells.",retina; cerebellum; cerebrospinal fluid,Adult Refsum disease; Heredopathia atactica polyneuritiformis; Refsum-Thiébaut-Klenk-Kahlke disease; Refsum-Thiébaut disease;  phytanic acid oxidase deficiency; phytanic acid storage disease,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Ribose-5-phosphate isomerase deficiency,An autosomal recessive (Gene RPIA) metabolic disorder caused by mutations in the pentose phosphate pathway enzyme ribose-5-phosphate isomerase. It is currently the rarest disease in the world.,,RPI deficiency; deficiency in Ribose-5-phosphate isomerase; deficiency in RPI,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Musculoskeletal System Disorder,Skeletal System Disorder,,,,,Rickets,"A bone remodeling disease that has material basis in impaired mineralization or calcification of bones before epiphyseal closure. It is caused by to deficiency or impaired metabolism of vitamin D, phosphorus or calcium, which results in softening and deformity located in bone. (DO)",bone,Rachitis,,,,DOID:10609,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder,Inborn Error of Metabolism; Urine Disorder,,,,,Saccharopinuria,"An autosomal recessive (Gene AASS) metabolic disorder characterized by elevated urinary levels of saccharopine with few, if any, clinical manifestations.",urine,Saccharopine dehydrogenase deficiency; Saccharopinemia; Saccharopine dehydrogenase deficiency ; Alpha-aminoadipic semialdehyde synthase deficiency,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder; Hematological System Disorder,Inborn Error of Metabolism; Urine Disorder; Blood Plasma Disorder,,,,,Sarcosinemia,An autosomal recessive (Gene SARDH) metabolic disorder characterized by an increased concentration of sarcosine in plasma and an increased excretion of sarcosine in urine.,,SARDH deficiency; Hypersarcosinemia,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Sepiapterin reductase deficiency,An autosomal recessive (Gene SPR) metabolic disorder which  results in neurologic deterioration due to severe dopamine and serotonin deficiencies in the central nervous system caused by a defect in BH4 synthesis.,central nervous system,SPR deficiency; deficiency in Sepiapterin reductase; deficiency in SPR,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Short Chain Acyl-CoA Dehydrogenase Deficiency,An autosomal recessive (Gene ACADS) lipid metabolism disorder that is characterized by deficiency of the enzyme short chain acyl-CoA dehydrogenase that results in the inability to convert short chain fatty acids. (DO),,SCAD,,,,DOID:0080154,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Short/Branched Acyl- CoA dehydrogenase deficiency,"An autosomal recessive (Gene ACADSB) metabolic disorder of impaired isoleucine degradation. It is most often ascertained via newborn screening and is usually clinically asymptomatic, although some patients have been reported to have delayed development and neurologic signs. ",,2-MMethylbutyryl-CoA dehydrogenase deficiency; 2-Methylbutyrl glycinuria,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Sjögren-Larsson syndrome,"An autosomal recessive (Gene ALDH3A2) characterized by ichthyosis, mental retardation, spastic paraparesis, macular dystrophy, and leukoencephalopathy. It is caused by deficiency of fatty aldehyde dehydrogenase. (OMIM)",leukocyte,Fatty alcohol-nicotinamide adenine dinucleotide oxidoreductase deficiency; Fatty aldehyde dehydrogenase deficiency; FALDH Deficiency,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Non-Genetic or Non-Specified Gene Disorder,Nutritional Disorder,,,,,Sodium nitrate over-consumption,"An over-consumption of sodium nitrate in food may lead to short-term disorders such as headache and dizziness. Long-term consumption has been linked to increased risk of cancer, diabetes, heart disease.",head; heart,over-consumption of sodium nitrate,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder,Inborn Error of Metabolism; Urine Disorder,,,,,Sulfite oxidase deficiency,An autosomal recessive (Gene SUOX)  metabolic disorder characterized by elevated urinary levels of sulfocysteine.,urine,Molybdenium Co-factor deficiency; deficiency in Sulfite oxidase; deficiency in Molybdenium Co-factor,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Transaldolase deficiency,"An autosomal recessive (Gene TALDO1)  metabolic disorder characterized by coagulopathy, thrombocytopenia, hepatosplenomegaly, hepatic fibrosis and dysmorphic features.",platelet; liver,deficiency in Transaldolase,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Transcobalamin II deficiency,An autosomal recessive (Gene TCN2) vitamin B12 deficiency that is characterized by a lack of vitamin B12 intestinal absorption resulting from a deficiency in the B12 transport protein TCII. (DO),intestine,TC II DEFICIENCY; TCN2 DEFICIENCY; Hereditary partial transcobalamin II deficiency; deficiency in Transcobalamin II; deficiency in TCN2,,,,DOID:0050818,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder,Inborn Error of Metabolism; Urine Disorder,,,,,Trimethylaminuria,"An autosomal recessive (Gene FMO3) metabolic disorder characterozed by an abnormal presence of large amounts of volatile and malodorous trimethylamine within the body. This chemical, a tertiary aliphatic amine, is excreted in the urine, sweat (ichthyohidrosis), and breath, which take on the offensive odor of decaying fish.",urine,Fish malodor syndrome; Fish odor syndrome; TMAU,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Tyrosinemia,An amino acid metabolic disorder that involves impaired break down of the amino acid tyrosine. (DO),,Tyrosinaemia,,,,DOID:9275,,,,,HMDB,Disease Ontology (DO),,,
Modify,19-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Very Long Chain Acyl-CoA Dehydrogenase Deficiency,An autosomal recesssive (Gene ACADVL) ipid metabolism disorder that is characterized by deficiency of the enzyme very long chain acyl-CoA dehydrogenase that results in the inability to convert very long chain fatty acids. (DO),,VLCAD; VLCHAD; deficiency in Very Long Chain Acyl-CoA Dehydrogenase,,,,DOID:0080155,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Non-Genetic or Non-Specified Gene Disorder,Nutritional Disorder,,,,,Vitamin B12 deficiency; deficiency in Vitamin B12; deficiency in B12,A vitamin metabolic disorder that results from low blood levels of vitamin B12. (DO),,B12 deficiency; Cobalamin Deficiency,,,,DOID:0050731,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Wilson's disease,An autosomal recessive (Gene ATP7B) metabolic disorder characterized by dramatic build-up of intracellular hepatic copper with subsequent hepatic and neurologic abnormalities.,liver,Hepatolenticular degeneration,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,X-linked hypophosphatemia,"An X-linked dominant (Gene PHEX) metabolic disorder characterized by rickets with bone deformities, short stature, dental anomalies, hypophosphatemia and hypocalcuria.",bone; teeth; blood; urine,vitamin D-resistant English disease; hypophosphatemic English disease; Vitamin D-resistant rickets; Hypophosphatemic rickets,,,,,,,,,HMDB,,,,
,,An Chi,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder,Inborn Error of Metabolism; Urine Disorder,,,,,Xanthinuria,"A purine-pyrimidine metabolic disorder characterized by deficiency of xanthine oxidase, resulting in excretion of large amounts of xanthine in the urine and the formation of xanthine stones. (DO)",urine,Xanthinuria,,,,DOID:0060236,,,,,HMDB,Disease Ontology (DO),,,
,,,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder,Inborn Error of Metabolism; Urine Disorder,,,,,Xanthinuria I,An autosomal recessive (Gene XDH) characterized by excretion of large amounts of xanthine in the urine and a tendency to form xanthine stones.,urine,Xanthine dehydrogenase deficiency; XDH deficiency; Xanthine oxidase deficiency,,,,,,,,,,,,,
,,,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder,Inborn Error of Metabolism; Urine Disorder,,,,,Xanthinuria II,"An autosomal recessive (Gene MOCOS) metabolic disorder resulting from a defect in the synthesis of the molybdenum cofactor, which is necessary for the 2 enzymes that degrade xanthine: XDH and AOX1.",urine,,,,,,,,,,,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Renal Disorder,,,,,Acute kidney injury,A disorder characterized as a sudden episode of kidney failure or damage caused by a build of waste products in blood.,kidney,AKI,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Renal Disorder,,,,,Anuria,"A condition which results in the non-passage of urine, typically caused by a failure in kidney function.",kidney,,,,,,,,,,,NCI thesaurus,,,
Modify,20-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Urinary System Disorder; Genetic Disorder,Renal Disorder,,,,,Autosomal dominant polycystic kidney disease,An autosomal dominant disease characterized by the presence of multiple cysts located in the kidney resulting from ciliopathy that disrupts the function of primary cilium. (DO),kidney; cilia,ADPKD; Adult-onset PKD; Autosomal dominant PKD; Autosomal dominant polycystic kidney disease (ADPKD),,,,DOID:898,,,,,HMDB,Disease Ontology (DO),,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Renal Disorder,,,,,Chronic kidney disease,A disorder characterized by gradual and usually permanent damage/loss of kidney function resulting in renal failure. (NCI CTCAE),kidney,CKD; Chronic renal disease; Chronic renal failure; Chronic Renal Failure (NCI:C9438); CRF; CKF; Chronic kidney failure; End-stage renal disease; ESRD; ESKD; Stage 5 chronic kidney disease; Stage 5 CKD; Anephric patients,,,,,,,,,HMDB,NCI CTCAE,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Renal Disorder,,,,,Cystic kidney disease,A congenital or acquired kidney disorder characterized by the presence of renal cysts.,kidney,Cystic Kidney Disease NCI:C34750),,,,,,,,,HMDB,,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Cystinosis,"An autosomal dominant (Gene SLC3A1/SLC7A9 ) amino acid metabolic disorder that involves the formation of cystine stones in the kidneys, ureter, and bladder and characterized by elevated levels of cysteine in urine. (DO)",kidney; ureter; bladder,Cystinosis (NCI:C2976); early-onset or infantile nephropathic type; late onset type; Cystinosis; ocular nonnephropathic; Cystonisis; benign nonnephropathic,,,,DOID:1064,,,,,HMDB,Disease Ontology (DO),,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder; Urinary System Disorder,Inborn Error of Metabolism; Urine Disorder,,,,,Cystinuria,"An amino acid metabolic disorder that involves the formation of cystine stones in the kidneys, ureter, and bladder. (DO)",kidney; ureter; bladder,Cystinuria-lysinuria,,,,DOID:9266,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Renal Disorder,,,,,Glomerulonephritis,A nephritis that causes inflammation of the glomeruli located in kidney. (DO),kidney; glomerulus,Glomerular nephritis,,,,DOID:2921,,,,,,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Renal Disorder,,,,,Glomerulosclerosis,A glomerulonephritis that is characterized by hardening of the glomerulus in the kidney. (DO),kidney; glomerulus,Glomerular sclerosis,,,,DOID:0050851,,,,,,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Female Reproductive System Disorder,,,,,,Gravid Uterus,A disorder characterized by a pregnant uterus that is entrapped in the pelvis between the sacral promontory and pubic symphysis.,pelvis; uterus,Incarcerated gravid uterus;,,,,,,,,,,NCI thesaurus,,,
Modify,19-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder; Molecular Disorder,Genetic Disorder,Inborn Error of Metabolism,,,,,Hartnup disease,"An autosomal recessive (Gene SLC6A19) amino acid metabolic disorder that is caused by abnormalities of the renal tubules and is characterized especially by aminoaciduria involving only monocarboxylic monoamines, a dry red scaly rash, and episodic muscular incoordination due to the effects of the disease on the cerebellum. (DO)",renal tubule; cerebellum,Hartnup disease (DOID:1060); Hartnup disorder,,,,DOID:1060,,,,,,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Renal Disorder,,,,,Kidney disease,A urinary system disease that is located in the kidney. (DO),kidney,Renal disease; Nephropathy,,,,DOID:557,,,,,HMDB,Disease Ontology (DO),,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Renal Disorder,,,,,Nephritis,A kidney disease that is characterized by an inflammation of the kidneys. (DO),kidney,,,,,DOID:10952,,,,,,Disease Ontology (DO),,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Renal Disorder,,,,,Nephrotic syndrome,A disorder characterized by excess protein in the urine. (NCI CTCAE),urine,NS; Nephrosis; Nephritic syndrome,,,,,,,,,HMDB,TMIC team,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Urinary Tract Disorder,,,,,Noninfective cystitis,A disorder characterized by inflammation of the bladder which is not caused by an infection of the urinary tract. (NCI CTCAE),bladder,Cystitis noninfective,,,,,,,,,,NCI CTCAE,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Renal Disorder,,,,,Polycystic kidney dysplasia,A disorder characterized by malformation of the kidney during fetal development.,kidney,Multicystic dysplastic kidney; MCDK; Multicystic renal dysplasia,,,,,,,,,human-phenotype-ontology,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Urine Disorder,,,,,Polyuria,A disorder characterized excessive or abnormal production or passage of urine.,,excessive urination,,,,,,,,,,NCI thesaurus,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Urine Disorder,,,,,Proteinuria,A disorder characterized by excess excretion of albumin in the urine. Usually an early sign for CKD.,urine,Albuminuria,,,,,,,,,HMDB,NCI CTCAE,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Renal Disorder,,,,,Renal calculi,A disorder characterized by the formation of crystals/kidney stones in the pelvis of the kidney. (NCI CTCAE),kidney,kidney stone; renal stone,,,,,,,,,,NCI CTCAE,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Renal Disorder,,,,,Renal failure,A disorder characterized by the loss of kidney function.,kidney,Kidney failure; ESRF; ESKF; failure of the kidney,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Renal Disorder,,,,,Renal tubular acidosis,"A renal tubular transport disease characterized by excess levels of acid in the blood, due to a failure of the kidneys to appropriately acidify the urine. (DO)",kidney; blood,"dRTA; Renal tubular acidosis I, RTA, distal type, autosomal dominant; RTA, classic type; RTA, gradient type",,,,DOID:14219,,,,,HMDB,Disease Ontology (DO),,,
Modify,19-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Renal Disorder,,,,,Uremia,A disorder characterized by accummulation of solutes in the blood of people with chronic kidney disease. (DO),kidney; blood,Uraemia,,,,DOID:4676,,,,,HMDB,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Renal Disorder,,,,,Uric acid neuropathy,A kidney disorder characterized by excessive uric acid in the blood and the appearance of urate crystal deposits in the kidneys.,kidney; blood,Chronic uric acid nephropathy; Gouty nephropathy,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Urinary Tract Disorder,,,,,Urolithiasis,A disorder characterized by the formation of stony concretions in the bladder or urinary tract.,bladder; urinary tract,Urinary Bladder Calculi; Bladder Calculi; Bladder Stones; Cystoliths.,,,,,,,,,HMDB,,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Urinary System Disorder,Urinary Tract Disorder,,,,,Vesicoureteral Reflux,A ureteral disease characterized by backward flow of urine from the urinary bladder into the ureter. (DO),bladder; ureter,vesicoureteric reflux; VUR,,,,DOID:9620,,,,,,Disease Ontology (DO),,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Female Reproductive System Disorder,,,,Infertility,,Decreased fertility,A condition characterized by a lower than normal chance of pregnancy.,,decrease in fertility,,,,,,,,,human-phenotype-ontology,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Female Reproductive System Disorder,,,,Infertility,,Female infertility,A disorder characterized by the inability of a female to become pregnant.,,,,,,,,,,,human-phenotype-ontology,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Female Reproductive System Disorder,,,,,,Benign gynecological disease,A non-serious or life-threatening disease affecting a woman's sexual organs.,,Benign gynaecological disease; Benign gynaecological condition; Benign gynaecological conditions;,,Menstrual disorder; Menstrual disorders;,,,,,,,HMDB,,,,
Modify,8-Nov-17,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Male Reproductive System Disorder,,,,,,Azoospermia,A disorder characterized by laboratory test results that indicate complete absence of spermatozoa in the semen. (NCI CTCAE),semen; spermatozoa,,,,,,,,,,HMDB,NCI CTCAE,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Female Reproductive System Disorder,,,,,,Bartholin cyst,A blockage of the Bartholin's gland leading to the developlment of a fluid-filled cyst.,Bartholin's gland,Bathollin's gland cyst; Batholin's duct cyst;,,,,,,,,,,NCI thesaurus,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Male Reproductive System Disorder,,,,,,Benign prostatic hyperplasia,"An enlargement of the male prostate gland, typically affecting older males, leading to various urinary symptoms.",prostate gland,BEP; BPH; Benign enlargement of the prostate; Nodular hyperplasia; Benign prostatic hypertrophy; Benign prostatic hypertrophy (BPH),,,,,,,,,HMDB,,,,
Modify,21-Jan-18,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Female Reproductive System Disorder,,,,,,Cervical Endocervicosis,A benign lesion characterized by the presence of endocervical-type glands in the outer half of the cervical wall.,cervix,Cervical Endocervicosis (NCI:C127936),,,,,,,,,NCI thesaurus,NCI thesaurus,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Respiratory System Disorder,Pulmonary Disorder,,,,,Chronic lung disease,A disorder characterized by gradual and usually permanent damage/loss of lung function resulting in repiratory failure. (NCI CTCAE),lung,CLD; CRD; Chronic respiratory disease;,,,,,,,,,human-phenotype-ontology,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Respiratory System Disorder,Pulmonary Disorder,,,,,Chronic obstructive pulmonary disease,"A disorder characterized by long-term breathing problems and poor airflow, commonly attributed to smoking.",respiratory system,COPD,,,,,,,,,HMDB,,,,
Modify,23-04-18,Zach,Physiological Effect,Health Effect,Health Condition,System Disorder,Female Reproductive System Disorder,,,,,,Chronic Villitis,A disorder characterized by the inflammation of the placental villi which may recur in successive pregnancies.,placenta; villi,Villitis of unknown etiology; VUE,,,,,,,,,,NCI thesaurus,,,
,,Naama,Physiological Effect,Health Effect,Health Condition,System Disorder,Female Reproductive System Disorder,,,,,,Eclampsia,A pre-eclampsia characterized by the presence of seizures. (DO),brain,,,,,DOID:13593,,,,,,Disease Ontology (DO),,,
